City,Mean price,Median price,Price Variance,Price Std. Dev.,Price Std. Err.
bangkok,93.55540599132834,42.485,754974.3721604875,868.892612559508,9.959676763586183
hongkong,434.640434512725,80.47,13305210.961999178,3647.6308697563104,90.87891058203775
instanbul,122.36437315944467,61.958,1697808.5626177236,1302.999832163352,9.448976642067498
london,239.21625217546787,155.0,402461.5839185692,634.3986001864831,3.463196414460318
newyork,216.80303574175684,144.0,1067607.8251518083,1033.25109491924,7.399075059450901
paris,222.80637143254134,153.69,720439.3487565229,848.7869866795337,5.776467494109651
singapore,352.7537643932684,109.5,14433162.571849734,3799.1002318772444,113.0664562800982
